event,arm,time_to_dwell_s,pos_err_max_mm,pos_err_mean_mm,ori_err_max_deg,ori_err_mean_deg,pos_err_max_settled_mm,ori_err_max_settled_deg,n_window_samples,sample_rate_hz,n_tf_fail,peak_effort_nm,pos_tol_mm,ori_tol_deg,dwell_s,instrument_ok
success,arm_1,43.321,4.432,2.03,1.655,1.396,1.836,1.38,41,20.01,0,"{""t1_a1_joint_6"": 0.636, ""t1_a1_joint_5"": 0.506, ""t1_a1_joint_1"": 1.416, ""t1_a2_joint_2"": 0.366, ""t1_a2_joint_3"": 0.316, ""t1_a2_joint_4"": 0.183, ""t1_a1_joint_3"": 2.227, ""t1_a1_joint_2"": 7.971, ""t1_a2_joint_6"": 0.05, ""t1_a2_joint_5"": 0.176, ""t1_a2_joint_1"": 0.247, ""t1_a1_joint_4"": 0.682}",5.0,5.0,2.0,True
success,arm_2,72.877,2.789,1.277,2.162,2.127,1.363,2.131,41,20.01,0,"{""t1_a1_joint_6"": 0.636, ""t1_a1_joint_5"": 0.506, ""t1_a1_joint_1"": 1.416, ""t1_a2_joint_2"": 12.276, ""t1_a2_joint_3"": 2.488, ""t1_a2_joint_4"": 0.323, ""t1_a1_joint_3"": 2.227, ""t1_a1_joint_2"": 7.971, ""t1_a2_joint_6"": 0.429, ""t1_a2_joint_5"": 0.386, ""t1_a2_joint_1"": 1.23, ""t1_a1_joint_4"": 0.682}",5.0,5.0,2.0,True
success,arm_1,37.418,3.963,1.65,1.811,1.803,1.707,1.801,41,20.02,0,"{""t1_a1_joint_6"": 0.659, ""t1_a1_joint_5"": 0.486, ""t1_a1_joint_1"": 1.299, ""t1_a2_joint_2"": 0.412, ""t1_a2_joint_3"": 0.337, ""t1_a2_joint_4"": 0.033, ""t1_a1_joint_3"": 3.327, ""t1_a1_joint_2"": 4.466, ""t1_a2_joint_6"": 0.063, ""t1_a2_joint_5"": 0.156, ""t1_a2_joint_1"": 0.137, ""t1_a1_joint_4"": 0.483}",5.0,5.0,2.0,True
success,arm_2,69.878,2.021,0.741,2.094,2.046,0.724,2.011,41,20.01,0,"{""t1_a1_joint_6"": 0.659, ""t1_a1_joint_5"": 0.486, ""t1_a1_joint_1"": 1.299, ""t1_a2_joint_2"": 12.757, ""t1_a2_joint_3"": 2.041, ""t1_a2_joint_4"": 0.369, ""t1_a1_joint_3"": 3.327, ""t1_a1_joint_2"": 4.466, ""t1_a2_joint_6"": 0.433, ""t1_a2_joint_5"": 0.356, ""t1_a2_joint_1"": 1.485, ""t1_a1_joint_4"": 0.483}",5.0,5.0,2.0,True
success,arm_1,28.455,3.12,2.07,1.824,1.802,1.875,1.786,41,20.03,0,"{""t1_a1_joint_6"": 0.622, ""t1_a1_joint_5"": 0.572, ""t1_a1_joint_1"": 1.21, ""t1_a2_joint_2"": 0.389, ""t1_a2_joint_3"": 0.337, ""t1_a2_joint_4"": 0.283, ""t1_a1_joint_3"": 1.973, ""t1_a1_joint_2"": 12.735, ""t1_a2_joint_6"": 0.143, ""t1_a2_joint_5"": 0.196, ""t1_a2_joint_1"": 0.296, ""t1_a1_joint_4"": 0.552}",5.0,5.0,2.0,True
success,arm_2,57.067,4.777,0.923,2.001,1.963,0.761,2.001,41,20.01,0,"{""t1_a1_joint_6"": 0.622, ""t1_a1_joint_5"": 0.572, ""t1_a1_joint_1"": 1.21, ""t1_a2_joint_2"": 9.413, ""t1_a2_joint_3"": 3.547, ""t1_a2_joint_4"": 0.562, ""t1_a1_joint_3"": 1.973, ""t1_a1_joint_2"": 12.735, ""t1_a2_joint_6"": 0.349, ""t1_a2_joint_5"": 0.419, ""t1_a2_joint_1"": 1.471, ""t1_a1_joint_4"": 0.552}",5.0,5.0,2.0,True
success,arm_1,43.343,3.062,1.363,1.99,1.778,1.28,1.779,41,20.0,0,"{""t1_a1_joint_6"": 0.629, ""t1_a1_joint_5"": 0.929, ""t1_a1_joint_1"": 1.416, ""t1_a2_joint_2"": 0.458, ""t1_a2_joint_3"": 0.371, ""t1_a2_joint_4"": 0.25, ""t1_a1_joint_3"": 5.368, ""t1_a1_joint_2"": 3.413, ""t1_a2_joint_6"": 0.057, ""t1_a2_joint_5"": 0.166, ""t1_a2_joint_1"": 0.179, ""t1_a1_joint_4"": 1.145}",5.0,5.0,2.0,True
success,arm_2,73.609,4.026,1.236,1.159,1.086,1.331,1.089,41,20.01,0,"{""t1_a1_joint_6"": 0.629, ""t1_a1_joint_5"": 0.929, ""t1_a1_joint_1"": 1.416, ""t1_a2_joint_2"": 9.551, ""t1_a2_joint_3"": 3.313, ""t1_a2_joint_4"": 0.609, ""t1_a1_joint_3"": 5.368, ""t1_a1_joint_2"": 3.413, ""t1_a2_joint_6"": 0.639, ""t1_a2_joint_5"": 0.473, ""t1_a2_joint_1"": 1.464, ""t1_a1_joint_4"": 1.145}",5.0,5.0,2.0,True
success,arm_1,42.027,2.737,0.977,1.164,1.016,1.048,1.018,41,20.01,0,"{""t1_a1_joint_6"": 0.679, ""t1_a1_joint_5"": 0.995, ""t1_a1_joint_1"": 1.43, ""t1_a2_joint_2"": 0.275, ""t1_a2_joint_3"": 0.426, ""t1_a2_joint_4"": 0.313, ""t1_a1_joint_3"": 4.612, ""t1_a1_joint_2"": 8.314, ""t1_a2_joint_6"": 0.067, ""t1_a2_joint_5"": 0.146, ""t1_a2_joint_1"": 0.096, ""t1_a1_joint_4"": 1.035}",5.0,5.0,2.0,True
success,arm_2,73.338,4.684,1.572,1.941,1.833,1.258,1.85,42,20.0,0,"{""t1_a1_joint_6"": 0.679, ""t1_a1_joint_5"": 0.995, ""t1_a1_joint_1"": 1.43, ""t1_a2_joint_2"": 3.917, ""t1_a2_joint_3"": 5.56, ""t1_a2_joint_4"": 0.689, ""t1_a1_joint_3"": 4.612, ""t1_a1_joint_2"": 8.314, ""t1_a2_joint_6"": 0.356, ""t1_a2_joint_5"": 0.393, ""t1_a2_joint_1"": 1.23, ""t1_a1_joint_4"": 1.035}",5.0,5.0,2.0,True
