event,arm,time_to_dwell_s,pos_err_max_mm,pos_err_mean_mm,ori_err_max_deg,ori_err_mean_deg,pos_err_max_settled_mm,ori_err_max_settled_deg,n_window_samples,sample_rate_hz,n_tf_fail,peak_effort_nm,pos_tol_mm,ori_tol_deg,dwell_s,instrument_ok
success,arm_1,42.353,3.863,1.738,0.669,0.615,1.796,0.6,41,20.02,0,"{""t1_a1_joint_6"": 0.616, ""t1_a1_joint_5"": 1.145, ""t1_a1_joint_1"": 1.436, ""t1_a2_joint_2"": 1.809, ""t1_a2_joint_3"": 0.474, ""t1_a2_joint_4"": 0.206, ""t1_a1_joint_3"": 5.224, ""t1_a1_joint_2"": 5.68, ""t1_a2_joint_6"": 0.203, ""t1_a2_joint_5"": 0.186, ""t1_a2_joint_1"": 0.605, ""t1_a1_joint_4"": 1.008}",5.0,5.0,2.0,True
success,arm_2,93.319,2.814,1.074,1.378,1.271,1.172,1.261,41,20.01,0,"{""t1_a1_joint_6"": 0.616, ""t1_a1_joint_5"": 1.145, ""t1_a1_joint_1"": 1.436, ""t1_a2_joint_2"": 10.948, ""t1_a2_joint_3"": 3.464, ""t1_a2_joint_4"": 0.762, ""t1_a1_joint_3"": 5.224, ""t1_a1_joint_2"": 5.68, ""t1_a2_joint_6"": 0.419, ""t1_a2_joint_5"": 0.629, ""t1_a2_joint_1"": 1.292, ""t1_a1_joint_4"": 1.008}",5.0,5.0,2.0,True
success,arm_1,42.671,4.152,1.485,2.507,1.666,1.345,1.697,41,20.01,0,"{""t1_a1_joint_6"": 0.596, ""t1_a1_joint_5"": 1.122, ""t1_a1_joint_1"": 1.32, ""t1_a2_joint_2"": 0.252, ""t1_a2_joint_3"": 0.412, ""t1_a2_joint_4"": 0.27, ""t1_a1_joint_3"": 4.653, ""t1_a1_joint_2"": 8.2, ""t1_a2_joint_6"": 0.05, ""t1_a2_joint_5"": 0.166, ""t1_a2_joint_1"": 0.302, ""t1_a1_joint_4"": 1.078}",5.0,5.0,2.0,True
success,arm_2,93.627,2.997,1.335,2.722,2.065,1.109,2.035,41,20.0,0,"{""t1_a1_joint_6"": 0.596, ""t1_a1_joint_5"": 1.122, ""t1_a1_joint_1"": 1.32, ""t1_a2_joint_2"": 4.1, ""t1_a2_joint_3"": 5.457, ""t1_a2_joint_4"": 1.085, ""t1_a1_joint_3"": 4.653, ""t1_a1_joint_2"": 8.2, ""t1_a2_joint_6"": 0.356, ""t1_a2_joint_5"": 1.042, ""t1_a2_joint_1"": 1.217, ""t1_a1_joint_4"": 1.078}",5.0,5.0,2.0,True
success,arm_1,46.403,2.871,1.666,1.924,1.465,1.66,1.48,42,20.02,0,"{""t1_a1_joint_6"": 0.586, ""t1_a1_joint_5"": 0.772, ""t1_a1_joint_1"": 1.519, ""t1_a2_joint_2"": 0.435, ""t1_a2_joint_3"": 0.357, ""t1_a2_joint_4"": 0.037, ""t1_a1_joint_3"": 3.526, ""t1_a1_joint_2"": 3.55, ""t1_a2_joint_6"": 0.123, ""t1_a2_joint_5"": 0.193, ""t1_a2_joint_1"": 0.351, ""t1_a1_joint_4"": 0.998}",5.0,5.0,2.0,True
success,arm_2,90.97,2.989,1.259,1.035,0.858,1.049,0.852,41,20.01,0,"{""t1_a1_joint_6"": 0.586, ""t1_a1_joint_5"": 0.772, ""t1_a1_joint_1"": 1.519, ""t1_a2_joint_2"": 9.07, ""t1_a2_joint_3"": 1.43, ""t1_a2_joint_4"": 0.403, ""t1_a1_joint_3"": 3.526, ""t1_a1_joint_2"": 3.55, ""t1_a2_joint_6"": 0.429, ""t1_a2_joint_5"": 0.429, ""t1_a2_joint_1"": 1.54, ""t1_a1_joint_4"": 0.998}",5.0,5.0,2.0,True
success,arm_1,49.417,2.635,1.894,1.599,1.425,1.892,1.464,42,20.01,0,"{""t1_a1_joint_6"": 0.556, ""t1_a1_joint_5"": 0.765, ""t1_a1_joint_1"": 1.285, ""t1_a2_joint_2"": 0.481, ""t1_a2_joint_3"": 0.357, ""t1_a2_joint_4"": 0.083, ""t1_a1_joint_3"": 4.028, ""t1_a1_joint_2"": 12.276, ""t1_a2_joint_6"": 0.057, ""t1_a2_joint_5"": 0.19, ""t1_a2_joint_1"": 0.364, ""t1_a1_joint_4"": 1.068}",5.0,5.0,2.0,True
success,arm_2,80.28,3.797,1.282,1.968,1.868,1.043,1.844,41,20.01,0,"{""t1_a1_joint_6"": 0.556, ""t1_a1_joint_5"": 0.765, ""t1_a1_joint_1"": 1.285, ""t1_a2_joint_2"": 3.939, ""t1_a2_joint_3"": 4.921, ""t1_a2_joint_4"": 0.995, ""t1_a1_joint_3"": 4.028, ""t1_a1_joint_2"": 12.276, ""t1_a2_joint_6"": 0.466, ""t1_a2_joint_5"": 0.659, ""t1_a2_joint_1"": 1.327, ""t1_a1_joint_4"": 1.068}",5.0,5.0,2.0,True
success,arm_1,30.466,3.007,2.336,2.331,2.247,2.547,2.286,41,20.02,0,"{""t1_a1_joint_6"": 0.596, ""t1_a1_joint_5"": 0.589, ""t1_a1_joint_1"": 1.327, ""t1_a2_joint_2"": 0.389, ""t1_a2_joint_3"": 0.351, ""t1_a2_joint_4"": 0.3, ""t1_a1_joint_3"": 1.952, ""t1_a1_joint_2"": 12.986, ""t1_a2_joint_6"": 0.027, ""t1_a2_joint_5"": 0.133, ""t1_a2_joint_1"": 0.261, ""t1_a1_joint_4"": 0.529}",5.0,5.0,2.0,True
success,arm_2,69.729,2.429,0.886,2.05,1.613,0.754,1.573,41,20.01,0,"{""t1_a1_joint_6"": 0.596, ""t1_a1_joint_5"": 0.589, ""t1_a1_joint_1"": 1.327, ""t1_a2_joint_2"": 3.252, ""t1_a2_joint_3"": 5.464, ""t1_a2_joint_4"": 1.155, ""t1_a1_joint_3"": 1.952, ""t1_a1_joint_2"": 12.986, ""t1_a2_joint_6"": 0.409, ""t1_a2_joint_5"": 1.008, ""t1_a2_joint_1"": 1.354, ""t1_a1_joint_4"": 0.529}",5.0,5.0,2.0,True
success,arm_1,50.303,3.923,1.941,1.753,1.735,1.83,1.742,41,20.02,0,"{""t1_a1_joint_6"": 0.552, ""t1_a1_joint_5"": 0.493, ""t1_a1_joint_1"": 1.45, ""t1_a2_joint_2"": 0.458, ""t1_a2_joint_3"": 0.378, ""t1_a2_joint_4"": 0.08, ""t1_a1_joint_3"": 2.199, ""t1_a1_joint_2"": 8.612, ""t1_a2_joint_6"": 0.02, ""t1_a2_joint_5"": 0.253, ""t1_a2_joint_1"": 0.151, ""t1_a1_joint_4"": 0.682}",5.0,5.0,2.0,True
success,arm_2,69.969,3.649,1.147,1.913,1.857,1.022,1.851,42,20.01,0,"{""t1_a1_joint_6"": 0.552, ""t1_a1_joint_5"": 0.493, ""t1_a1_joint_1"": 1.45, ""t1_a2_joint_2"": 7.512, ""t1_a2_joint_3"": 3.457, ""t1_a2_joint_4"": 0.426, ""t1_a1_joint_3"": 2.199, ""t1_a1_joint_2"": 8.612, ""t1_a2_joint_6"": 0.526, ""t1_a2_joint_5"": 0.539, ""t1_a2_joint_1"": 1.368, ""t1_a1_joint_4"": 0.682}",5.0,5.0,2.0,True
