t,selection_mode,obj,arm,attempt,rank_J,rank_dist,node,dist,ee_dist,d_gantry_lin,d_gantry_rot,d_arm,hold,manip,J,gantry_lin,gantry_rot,ik_ms,plan_time_s,plan_ms,traj_energy,success
1784202829.8829076,nearest,target,arm_3,0,0,0,153,0.07120191170715756,0.9804083432646699,0.05058188910487238,1.3269447042081177,11.154631346133852,5.474357769734824,0.10271001214069433,63.37824630295197,1.2299508665277857e-06,-1.227100625985638,188.60672501614317,0.08378070900000001,143.3067010366358,9.882448856726688,1
1784202835.9824069,nearest,target,arm_3,0,0,0,153,0.09989339739322012,0.9442356206026639,0.05058188910487238,1.3269447042081177,11.154631346133852,5.474357769734824,0.10271001214069433,63.29845353237402,0.02973812193241312,-1.4157701480830174,10.716663964558393,0.079506678,148.6685270210728,6.936938323497476,1
1784202842.747746,nearest,target,arm_3,0,0,0,2519,0.06165491740963718,0.5489082480412465,0.24164714702721787,1.0196985447599538,7.375325669585884,2.787078799767408,0.06139767667812015,44.3221526359433,2.534026095724562e-07,-2.0785521116082584,12.641160981729627,0.095336879,178.88792604207993,19.21125571813139,1
1784202849.7203302,nearest,target,arm_2,0,0,0,516,0.04903214896883278,1.0498493021743038,0.09161963899555658,1.635528467782349,12.218812332678995,8.411946992060162,0.08199286660354906,73.61093614899377,0.0,1.4282922067182495,246.6306269634515,0.07873851200000001,148.27026898274198,14.628690446838789,1
1784202856.140581,nearest,target,arm_2,0,0,0,2017,0.07568889335710986,0.6292621136322722,0.2267648139202152,1.9244044424642968,6.423051059511928,0.5182531434602352,0.10536408380710185,55.71749756736862,0.2427427024030821,0.45430734378300547,12.499201053287834,0.055581036,108.68693399243057,8.902064636122917,1
1784202862.94315,nearest,target,arm_2,0,0,0,195,0.0699225713339987,0.5675735157494731,0.40210304999212365,2.1409333530530184,9.56442303595513,1.378669727175013,0.12157001943282861,70.31864730990586,0.530414946908791,0.5234658578584251,15.857236052397639,0.094255721,173.8213420030661,11.931287311898062,1
1784202869.5936763,nearest,target,arm_2,0,0,0,2726,0.04924553203480214,0.579592051495963,0.2507709023363313,2.1214324052684153,7.472738793870757,0.7063931015452218,0.05722059531010774,62.93195162758433,0.4452320543456395,0.11677727898029949,18.32810399355367,0.062848817,113.54068299988285,8.905853369111831,1
1784202876.3865411,nearest,target,arm_1,0,0,0,2618,0.043666903666603356,0.5024950208741502,0.3218477711176886,0.9776357459757067,6.376330415854039,1.515309980417297,0.1062797358176299,39.5894807921058,0.02117594141888686,2.1873455548005993,12.168113025836647,0.071650031,139.8270099889487,6.165849906739139,1
1784202883.2133007,nearest,target,arm_2,0,0,0,13,0.1542467719178006,0.9979394193344823,0.3056234977133583,1.700723858927205,7.613935272676073,3.858299056254309,0.05794438335169555,58.310636753152814,0.029577441678731237,-1.5948773275355508,143.26601201901212,0.062629908,129.29249601438642,14.048476227382112,1
1784202889.8175218,nearest,target,arm_1,0,0,0,418,0.1329913781843719,0.9426782353907962,0.30392180787164125,1.6812655639946907,9.36944560517886,5.883674817757917,0.13497951784518944,63.87041356122076,0.11626837564691815,1.4387242552497557,33.97086699260399,0.08369011700000001,160.41105898329988,19.09078002063966,1
1784202896.6596725,nearest,target,arm_4,0,0,0,165,0.0767642891553818,1.2433550318459619,0.3892532846707397,1.3857767995610617,9.092938633863477,4.967485319016878,0.06625558558605489,58.88413557453661,0.5734294128340168,1.5918887206454893,189.42823598627,0.062599363,123.1407459708862,13.18423245877398,1
1784202903.2048903,nearest,target,arm_4,0,0,0,165,0.08113020355189422,1.2154190232750572,0.3892532846707397,1.3857767995610617,9.092938633863477,4.967485319016878,0.06625558558605489,58.82251202621843,0.5617149690161448,1.897636959733914,28.393617016263306,0.085987123,140.81248099682853,8.189601203223246,1
