t,selection_mode,obj,arm,attempt,rank_J,rank_dist,node,dist,ee_dist,d_gantry_lin,d_gantry_rot,d_arm,hold,manip,J,gantry_lin,gantry_rot,ik_ms,plan_time_s,plan_ms,traj_energy,success
1784202391.2259986,energy,target,arm_3,0,0,1,594,0.18086047875204225,0.9804083432646699,0.22823288844638512,1.204077325897587,9.025266411304132,6.159779911234356,0.06930275550848429,55.014814712746585,0.00188268751854514,-1.2621161852174776,161.85464296722785,0.071052094,132.042619981803,9.663810938295132,1
1784202397.4228709,energy,target,arm_3,0,0,2,1828,0.1598769424944144,0.9442356206026639,0.16317677340669542,1.5596882702363715,5.263309087353626,2.703783423610718,0.12904187349858298,46.75067472677456,0.014816351666476815,-1.9176912542073825,38.794618973042816,0.07947483899999999,149.33074900181964,17.81826252203472,1
1784202404.1480095,energy,target,arm_3,0,0,22,2845,0.18027263511095024,0.5489082480412465,0.22940480298311486,0.2781641305054163,5.744387662445899,1.6600529779355209,0.1251800940215984,25.319392392148252,0.0,-2.4349630070460204,12.578419002238661,0.093053438,168.80452301120386,19.17191647455215,1
1784202410.8698847,energy,target,arm_3,0,0,35,1485,0.1909100410311453,0.48133216435184734,0.2834208440753007,0.06696451040193156,5.385158377451408,0.6596856845812179,0.17117993013380595,19.80385512872487,0.574090375955799,3.141592653589793,15.013506985269487,0.086623214,173.32162795355543,11.359346526206995,1
1784202417.5994403,energy,target,arm_1,0,0,22,2293,0.15537680965512424,0.6404536945876622,0.26270298721697805,0.6252811411342027,5.88695483781668,1.5941352038393655,0.15140494206410357,31.81364227272447,0.0,-1.7056857061260924,10.921342996880412,0.071686369,140.55274799466133,10.172016120812168,1
1784202424.3055892,energy,target,arm_1,0,0,65,1411,0.2031041178611042,0.5799657201310435,0.2340037658298883,0.3885429719501527,6.259917002389919,1.3969570300360457,0.128643380506938,28.893615917395227,0.0,-2.457397577487773,14.148308022413403,0.109205106,188.7058360152878,22.585679537013796,1
1784202430.9796078,energy,target,arm_1,0,0,10,2036,0.15363654017780495,0.5712459578738209,0.36199327126175923,0.1587623385620384,5.562660344873692,0.842537127325667,0.11521724996557453,22.78196203427483,0.08750396827406508,2.442389527063226,12.439067009836435,0.06438466100000001,140.2232910040766,8.89014117255334,1
1784202437.7272558,energy,target,arm_1,0,0,11,2036,0.1430589022733869,0.5024950208741502,0.36199327126175923,0.1587623385620384,5.562660344873692,0.842537127325667,0.11521724996557453,22.630305555599083,0.0016023164267316128,2.159047033954037,13.278339989483356,0.078546073,145.0507399858907,6.174321345835269,1
1784202444.5565147,energy,target,arm_1,0,0,2,2907,0.2083244977367564,0.9810519628762647,0.27941010613583217,1.2657945496714096,6.268852454592177,1.0102034583629442,0.13753271515058305,44.747671536811076,0.0,1.470689459738924,185.56026899022982,0.04662336,119.60786004783586,10.887329256749686,1
1784202451.175664,energy,target,arm_1,0,0,1,2907,0.15318507623618663,0.9426782353907962,0.27941010613583217,1.2657945496714096,6.268852454592177,1.0102034583629442,0.13753271515058305,44.6630236085343,0.011471671818859865,1.5566821590410251,8.67149798432365,0.078073609,147.08335004979745,15.370652124017921,1
1784202458.1008315,energy,target,arm_4,0,0,2,2729,0.18087641108894403,1.2433550318459619,0.6613984711318421,1.462104203501329,5.609142790793341,7.652258807902091,0.08211991479961371,49.969264575485425,0.49058741010324297,1.5208479199093974,229.08578102942556,0.07834181600000001,141.5171920089051,16.93002270464289,1
1784202464.5966208,energy,target,arm_4,0,0,6,1837,0.1999207665228081,1.2154190232750572,0.6253767448142301,1.5166073643377695,5.846101496605552,0.8402939181670994,0.1392667274833024,48.812938706831524,0.5515368215462484,1.4962768963065176,20.883449004031718,0.073875146,158.20575400721282,19.995135942691903,1
1784202471.2311456,energy,target,arm_3,0,0,20,2497,0.1862632030685106,0.5453484700199339,0.6637417024059983,0.5784841953273361,4.936932058495747,0.9987537479555166,0.11558653967877826,28.52088692815091,0.173327140914316,-0.06660893091215507,7.579844968859106,0.085794607,125.59047801187262,8.268497414444731,1
1784202478.0745006,energy,target,arm_4,0,0,37,686,0.20026773539057455,0.9171520800861841,0.5581074704828379,0.5032011026970936,4.932513797807405,0.6139964684593888,0.148331649899326,27.454855985502217,0.08511035454046666,-2.9934696217509713,21.64935797918588,0.082409802,164.82885996811092,5.440274044623244,1
1784202484.812367,energy,target,arm_3,0,0,38,1138,0.18597403328278891,0.5979169666248138,0.6428057151680907,0.8329096946261307,5.276916583299148,0.3352887564710166,0.12220056654192832,33.81323781193722,0.6292758173933088,2.1117524746293768,47.3170590121299,0.07870432299999999,158.78151397919282,13.601685465768456,1
1784202491.527329,energy,target,arm_3,0,0,68,646,0.19619462451650757,0.5365492397252482,0.6199273449116637,0.314205723223696,5.600593883348936,0.8854859998797374,0.14820987162583574,25.82690775799279,0.6893581093660055,1.2678295064878125,16.454385011456907,0.056781027,98.38074300205335,5.609151868875956,1
1784202498.2091422,energy,target,arm_1,0,0,35,2345,0.21125869813024217,0.5383376934726645,0.513984890719487,0.21133543899761267,6.51539157234832,1.1973409373529,0.06410046008001953,27.581252266698712,0.0005432468663090861,0.8862965501588639,6.651828996837139,0.076185688,148.58176599955186,19.858952076345282,1
1784202504.9271688,energy,target,arm_1,0,0,45,1687,0.2058199444014761,0.4647437722332618,0.7535737475285892,0.3727581160081002,5.489508469954267,0.851046797869479,0.15887978479593023,26.497883590612332,0.05068042774839482,0.14949798370723263,8.829194004647434,0.067659708,154.70318001462147,12.29281513685371,1
1784202511.756175,energy,target,arm_2,0,0,2,229,0.18212242477873805,1.2882771121902554,0.5094303124501836,1.543554906396114,9.840216329806161,5.844707303222215,0.08110777364642492,64.63198732292706,0.7891635111874451,-1.088764229901887,133.74933297745883,0.074073921,129.68697404721752,15.590658854444959,1
1784202518.4316862,energy,target,arm_2,0,0,12,2170,0.22219752368906928,1.2592961549693251,0.43927469304150124,1.5121093230902458,6.71319577943068,0.8408492195152864,0.12893838771303293,51.402559114356265,0.6299691680485429,-1.535566079267991,52.48923000181094,0.083684022,160.99948599003255,20.776158767072545,1
1784202525.198743,energy,target,arm_3,0,0,2,2613,0.2117963208548095,1.2572230897950127,0.8917969293858874,1.6478686328188858,7.259913501305323,3.5661485204284276,0.08954569326209777,57.711791561974756,0.9179185278434535,-1.0840569423793245,157.48493903083727,0.053990077,120.19039498409256,14.916006864595404,1
1784202531.816875,energy,target,arm_4,0,0,7,1702,0.2114502752028979,1.6520677597277178,1.0353140861570604,1.4179525871240188,5.47513695123293,0.10622133628872223,0.1596423961369257,47.31773686467636,1.0064987770088751,1.9891180221183644,20.65354003570974,0.069758719,133.2203010097146,18.23914779015029,1
1784202538.585585,energy,target,arm_3,0,0,34,1531,0.21184575088885085,0.959536160203697,1.0843889506364408,0.07770933160135605,5.523596629443584,1.5112943982370286,0.09398879591206331,24.016634131421306,1.108168006703302,-2.0299791047442572,15.288005000911653,0.086436688,171.51926399674267,19.02578355963211,1
1784202545.284824,energy,target,arm_3,0,0,31,1440,0.1878961996343708,0.9225454083189499,1.1551467244155678,0.057830548518665655,5.325177888851763,0.7797445634152125,0.15638022329300927,22.39928140854827,1.6270311494319791,3.0283095638201187,23.072636977303773,0.091761144,177.2403630311601,5.7372555057288865,1
1784202552.0204835,energy,target,arm_3,0,0,59,81,0.20731276000508841,0.9903582119431286,1.5122327656401753,0.1917298630965103,8.572476705628379,1.0212617196457112,0.05568814453451447,37.19808468012427,1.058406595646574,2.0191040932031443,13.937956013251096,0.094370889,167.78309200890362,19.039871212787766,1
1784202558.7699237,energy,target,arm_3,0,0,33,1354,0.15055847698253838,0.9545626095941082,1.1614100805725776,0.9886575990085172,5.689196686618374,1.722116254966689,0.15249990601788752,40.005241309105145,1.2174869456227002,0.9963967206393769,13.887754001189023,0.10592465400000001,186.29074800992385,21.784806460989675,1
1784202565.4521782,energy,target,arm_1,0,0,38,2657,0.21722307976657937,0.9383458850763707,0.9691835852416191,0.3492938645428505,5.743479295930476,0.8742848809658058,0.14644684170333036,28.534592257776918,0.7552235155153734,1.3687287783520554,17.049185989890248,0.067955455,136.88522798474878,19.787748412981674,1
1784202572.1325085,energy,target,arm_1,0,0,42,2196,0.2022576629165697,0.8981493760259989,1.0760089784951476,0.3262770824028957,5.591230632810082,0.8750745175639145,0.16976923712139264,27.608178282859612,1.0973615067051838,1.4079200763820683,8.405346015933901,0.077057949,151.82263898896053,6.7182008141142715,1
