event,arm,time_to_dwell_s,pos_err_max_mm,pos_err_mean_mm,ori_err_max_deg,ori_err_mean_deg,pos_err_max_settled_mm,ori_err_max_settled_deg,n_window_samples,sample_rate_hz,n_tf_fail,peak_effort_nm,pos_tol_mm,ori_tol_deg,dwell_s,instrument_ok
success,arm_4,123.726,2.919,1.59,1.863,1.843,1.632,1.851,42,20.0,0,"{""t2_a2_joint_3"": 5.938, ""t1_a1_joint_4"": 0.759, ""t2_a2_joint_6"": 0.602, ""t1_a1_joint_3"": 2.447, ""t1_a2_joint_6"": 0.426, ""t2_a2_joint_2"": 3.825, ""t1_a2_joint_5"": 0.453, ""t1_a1_joint_2"": 12.62, ""t1_a2_joint_3"": 1.973, ""t1_a1_joint_5"": 0.742, ""t1_a1_joint_6"": 0.589, ""t2_a1_joint_2"": 12.299, ""t1_a2_joint_2"": 11.2, ""t2_a1_joint_5"": 0.662, ""t2_a2_joint_5"": 0.659, ""t1_a2_joint_4"": 0.566, ""t1_a2_joint_1"": 1.375, ""t2_a2_joint_1"": 1.581, ""t2_a1_joint_1"": 1.464, ""t2_a1_joint_6"": 0.586, ""t2_a1_joint_4"": 0.522, ""t1_a1_joint_1"": 1.278, ""t2_a1_joint_3"": 4.667, ""t2_a2_joint_4"": 1.102}",5.0,5.0,2.0,True
success,arm_1,30.051,4.264,1.683,1.764,1.753,1.582,1.758,42,20.03,0,"{""t2_a2_joint_3"": 0.495, ""t1_a1_joint_4"": 0.849, ""t2_a2_joint_6"": 0.479, ""t1_a1_joint_3"": 3.375, ""t1_a2_joint_6"": 0.146, ""t2_a2_joint_2"": 1.191, ""t1_a2_joint_5"": 0.17, ""t1_a1_joint_2"": 3.733, ""t1_a2_joint_3"": 0.227, ""t1_a1_joint_5"": 0.679, ""t1_a1_joint_6"": 0.556, ""t2_a1_joint_2"": 2.336, ""t1_a2_joint_2"": 0.55, ""t2_a1_joint_5"": 0.602, ""t2_a2_joint_5"": 0.216, ""t1_a2_joint_4"": 0.103, ""t1_a2_joint_1"": 0.302, ""t2_a2_joint_1"": 0.089, ""t2_a1_joint_1"": 0.103, ""t2_a1_joint_6"": 0.369, ""t2_a1_joint_4"": 0.07, ""t1_a1_joint_1"": 1.182, ""t2_a1_joint_3"": 0.151, ""t2_a2_joint_4"": 0.023}",5.0,5.0,2.0,True
success,arm_2,44.666,3.725,1.663,1.504,1.473,1.525,1.477,41,20.02,0,"{""t2_a2_joint_3"": 0.495, ""t1_a1_joint_4"": 0.849, ""t2_a2_joint_6"": 0.479, ""t1_a1_joint_3"": 3.375, ""t1_a2_joint_6"": 0.552, ""t2_a2_joint_2"": 1.191, ""t1_a2_joint_5"": 0.489, ""t1_a1_joint_2"": 3.733, ""t1_a2_joint_3"": 3.285, ""t1_a1_joint_5"": 0.679, ""t1_a1_joint_6"": 0.556, ""t2_a1_joint_2"": 2.336, ""t1_a2_joint_2"": 7.1, ""t2_a1_joint_5"": 0.606, ""t2_a2_joint_5"": 0.22, ""t1_a2_joint_4"": 0.732, ""t1_a2_joint_1"": 1.21, ""t2_a2_joint_1"": 0.089, ""t2_a1_joint_1"": 0.103, ""t2_a1_joint_6"": 0.369, ""t2_a1_joint_4"": 0.077, ""t1_a1_joint_1"": 1.182, ""t2_a1_joint_3"": 0.151, ""t2_a2_joint_4"": 0.023}",5.0,5.0,2.0,True
success,arm_3,60.676,4.811,1.661,1.63,1.488,1.723,1.475,41,20.01,0,"{""t2_a2_joint_3"": 0.515, ""t1_a1_joint_4"": 0.849, ""t2_a2_joint_6"": 0.479, ""t1_a1_joint_3"": 3.375, ""t1_a2_joint_6"": 0.552, ""t2_a2_joint_2"": 1.191, ""t1_a2_joint_5"": 0.489, ""t1_a1_joint_2"": 3.733, ""t1_a2_joint_3"": 3.285, ""t1_a1_joint_5"": 0.679, ""t1_a1_joint_6"": 0.556, ""t2_a1_joint_2"": 3.825, ""t1_a2_joint_2"": 7.1, ""t2_a1_joint_5"": 0.782, ""t2_a2_joint_5"": 0.22, ""t1_a2_joint_4"": 0.732, ""t1_a2_joint_1"": 1.21, ""t2_a2_joint_1"": 0.096, ""t2_a1_joint_1"": 1.272, ""t2_a1_joint_6"": 0.606, ""t2_a1_joint_4"": 0.855, ""t1_a1_joint_1"": 1.182, ""t2_a1_joint_3"": 3.643, ""t2_a2_joint_4"": 0.023}",5.0,5.0,2.0,True
success,arm_4,74.936,4.809,2.101,1.604,1.538,1.997,1.561,42,20.0,0,"{""t2_a2_joint_3"": 4.117, ""t1_a1_joint_4"": 0.849, ""t2_a2_joint_6"": 0.589, ""t1_a1_joint_3"": 3.375, ""t1_a2_joint_6"": 0.552, ""t2_a2_joint_2"": 7.581, ""t1_a2_joint_5"": 0.489, ""t1_a1_joint_2"": 3.733, ""t1_a2_joint_3"": 3.285, ""t1_a1_joint_5"": 0.679, ""t1_a1_joint_6"": 0.556, ""t2_a1_joint_2"": 3.825, ""t1_a2_joint_2"": 7.1, ""t2_a1_joint_5"": 0.782, ""t2_a2_joint_5"": 0.652, ""t1_a2_joint_4"": 0.732, ""t1_a2_joint_1"": 1.21, ""t2_a2_joint_1"": 1.34, ""t2_a1_joint_1"": 1.272, ""t2_a1_joint_6"": 0.606, ""t2_a1_joint_4"": 0.855, ""t1_a1_joint_1"": 1.182, ""t2_a1_joint_3"": 3.643, ""t2_a2_joint_4"": 0.862}",5.0,5.0,2.0,True
success,arm_1,38.39,3.37,2.45,1.779,1.755,2.141,1.766,42,20.0,0,"{""t2_a2_joint_3"": 0.344, ""t1_a1_joint_4"": 0.692, ""t2_a2_joint_6"": 0.489, ""t1_a1_joint_3"": 2.028, ""t1_a2_joint_6"": 0.22, ""t2_a2_joint_2"": 2.886, ""t1_a2_joint_5"": 0.176, ""t1_a1_joint_2"": 12.78, ""t1_a2_joint_3"": 0.186, ""t1_a1_joint_5"": 0.559, ""t1_a1_joint_6"": 0.579, ""t2_a1_joint_2"": 3.481, ""t1_a2_joint_2"": 1.947, ""t2_a1_joint_5"": 0.546, ""t2_a2_joint_5"": 0.186, ""t1_a2_joint_4"": 0.256, ""t1_a2_joint_1"": 0.399, ""t2_a2_joint_1"": 0.11, ""t2_a1_joint_1"": 0.089, ""t2_a1_joint_6"": 0.359, ""t2_a1_joint_4"": 0.077, ""t1_a1_joint_1"": 1.333, ""t2_a1_joint_3"": 1.278, ""t2_a2_joint_4"": 0.027}",5.0,5.0,2.0,True
success,arm_2,65.89,3.447,1.526,0.718,0.624,1.413,0.696,41,20.0,0,"{""t2_a2_joint_3"": 0.344, ""t1_a1_joint_4"": 0.692, ""t2_a2_joint_6"": 0.489, ""t1_a1_joint_3"": 2.028, ""t1_a2_joint_6"": 0.446, ""t2_a2_joint_2"": 2.886, ""t1_a2_joint_5"": 0.559, ""t1_a1_joint_2"": 12.78, ""t1_a2_joint_3"": 2.935, ""t1_a1_joint_5"": 0.559, ""t1_a1_joint_6"": 0.579, ""t2_a1_joint_2"": 3.481, ""t1_a2_joint_2"": 10.055, ""t2_a1_joint_5"": 0.546, ""t2_a2_joint_5"": 0.186, ""t1_a2_joint_4"": 0.719, ""t1_a2_joint_1"": 1.251, ""t2_a2_joint_1"": 0.11, ""t2_a1_joint_1"": 0.096, ""t2_a1_joint_6"": 0.373, ""t2_a1_joint_4"": 0.077, ""t1_a1_joint_1"": 1.333, ""t2_a1_joint_3"": 1.278, ""t2_a2_joint_4"": 0.033}",5.0,5.0,2.0,True
success,arm_3,95.69,3.496,1.51,1.013,0.947,1.463,0.892,42,20.0,0,"{""t2_a2_joint_3"": 0.344, ""t1_a1_joint_4"": 0.692, ""t2_a2_joint_6"": 0.489, ""t1_a1_joint_3"": 2.028, ""t1_a2_joint_6"": 0.446, ""t2_a2_joint_2"": 2.886, ""t1_a2_joint_5"": 0.559, ""t1_a1_joint_2"": 12.78, ""t1_a2_joint_3"": 2.935, ""t1_a1_joint_5"": 0.559, ""t1_a1_joint_6"": 0.579, ""t2_a1_joint_2"": 3.481, ""t1_a2_joint_2"": 10.055, ""t2_a1_joint_5"": 0.716, ""t2_a2_joint_5"": 0.666, ""t1_a2_joint_4"": 0.719, ""t1_a2_joint_1"": 1.251, ""t2_a2_joint_1"": 0.11, ""t2_a1_joint_1"": 1.086, ""t2_a1_joint_6"": 0.569, ""t2_a1_joint_4"": 1.151, ""t1_a1_joint_1"": 1.333, ""t2_a1_joint_3"": 5.519, ""t2_a2_joint_4"": 0.033}",5.0,5.0,2.0,True
success,arm_4,136.44,3.876,2.634,1.41,0.825,2.545,0.826,42,20.0,0,"{""t2_a2_joint_3"": 5.842, ""t1_a1_joint_4"": 0.692, ""t2_a2_joint_6"": 0.609, ""t1_a1_joint_3"": 2.028, ""t1_a2_joint_6"": 0.446, ""t2_a2_joint_2"": 4.306, ""t1_a2_joint_5"": 0.559, ""t1_a1_joint_2"": 12.78, ""t1_a2_joint_3"": 2.935, ""t1_a1_joint_5"": 0.559, ""t1_a1_joint_6"": 0.579, ""t2_a1_joint_2"": 3.481, ""t1_a2_joint_2"": 10.055, ""t2_a1_joint_5"": 0.716, ""t2_a2_joint_5"": 1.218, ""t1_a2_joint_4"": 0.719, ""t1_a2_joint_1"": 1.251, ""t2_a2_joint_1"": 1.471, ""t2_a1_joint_1"": 1.086, ""t2_a1_joint_6"": 0.589, ""t2_a1_joint_4"": 1.151, ""t1_a1_joint_1"": 1.333, ""t2_a1_joint_3"": 5.519, ""t2_a2_joint_4"": 1.155}",5.0,5.0,2.0,True
success,arm_1,48.904,2.59,1.627,2.194,1.796,1.592,1.786,41,20.02,0,"{""t2_a2_joint_3"": 0.364, ""t1_a1_joint_4"": 1.045, ""t2_a2_joint_6"": 0.483, ""t1_a1_joint_3"": 5.279, ""t1_a2_joint_6"": 0.213, ""t2_a2_joint_2"": 2.336, ""t1_a2_joint_5"": 0.166, ""t1_a1_joint_2"": 6.07, ""t1_a2_joint_3"": 0.44, ""t1_a1_joint_5"": 1.085, ""t1_a1_joint_6"": 0.596, ""t2_a1_joint_2"": 3.756, ""t1_a2_joint_2"": 2.084, ""t2_a1_joint_5"": 0.546, ""t2_a2_joint_5"": 0.25, ""t1_a2_joint_4"": 0.19, ""t1_a2_joint_1"": 0.433, ""t2_a2_joint_1"": 0.117, ""t2_a1_joint_1"": 0.378, ""t2_a1_joint_6"": 0.376, ""t2_a1_joint_4"": 0.073, ""t1_a1_joint_1"": 1.32, ""t2_a1_joint_3"": 1.299, ""t2_a2_joint_4"": 0.11}",5.0,5.0,2.0,True
