t,det_idx,label,x,y,z,matched_gt,gt_dist,is_fp
1784255661.386,4,obj_5,2.0213,0.5911,1.0278,obj_5,0.01367846153737168,0
1784255661.386,5,obj_2,3.2615,-0.6383,1.1338,obj_2,0.021804460063138024,0
1784255661.386,6,obj_0,2.7918,-0.9332,1.1937,obj_0,0.06940502561060637,0
1784255661.386,7,obj_1,2.8888,-0.6026,1.0860,obj_1,0.014283065430241599,0
1784255661.881,0,obj_7,0.0075,0.3751,1.0279,obj_7,0.015630231585948895,0
1784255661.881,1,obj_4,1.4679,0.5974,1.0845,obj_4,0.021073915476820047,0
1784255661.881,2,obj_3,1.7715,-0.9659,1.2353,obj_3,0.007889025307389903,0
1784255661.881,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017073641500539805,0
1784255661.881,4,obj_5,2.0213,0.5918,1.0276,obj_5,0.01339306094206133,0
1784255661.881,5,obj_2,3.2615,-0.6382,1.1339,obj_2,0.02186791965965632,0
1784255661.881,6,obj_0,2.7919,-0.9332,1.1937,obj_0,0.06950682508644558,0
1784255661.881,7,obj_1,2.8888,-0.6021,1.0861,obj_1,0.013988088501465717,0
1784255662.389,0,obj_7,0.0071,0.3750,1.0280,obj_7,0.016030256311920156,0
1784255662.389,1,obj_4,1.4679,0.5974,1.0845,obj_4,0.021108428995377976,0
1784255662.389,2,obj_3,1.7715,-0.9659,1.2353,obj_3,0.007888102169639009,0
1784255662.389,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017074603903653864,0
1784255662.389,4,obj_5,2.0212,0.5921,1.0275,obj_5,0.013261761912891691,0
1784255662.389,5,obj_2,3.2616,-0.6382,1.1340,obj_2,0.02190007289119678,0
1784255662.389,6,obj_0,2.7919,-0.9331,1.1937,obj_0,0.06955772773072633,0
1784255662.389,7,obj_1,2.8887,-0.6019,1.0861,obj_1,0.013844057720963933,0
1784255662.882,0,black bowl,0.0069,0.3749,1.0280,obj_7,0.016230724756432155,0
1784255662.882,1,obj_4,1.4679,0.5974,1.0845,obj_4,0.021125703979728433,0
1784255662.882,2,brown bottle,1.7715,-0.9659,1.2353,obj_3,0.007887648916741133,0
1784255662.882,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.01707508514167735,0
1784255662.882,4,obj_5,2.0212,0.5923,1.0274,obj_5,0.013199064108508478,0
1784255662.882,5,obj_2,3.2616,-0.6382,1.1340,obj_2,0.02191625482351177,0
1784255662.882,6,obj_0,2.7919,-0.9331,1.1937,obj_0,0.0695831797775966,0
1784255662.882,7,obj_1,2.8887,-0.6018,1.0861,obj_1,0.013772938580555233,0
1784255663.383,0,black bowl,0.0068,0.3749,1.0280,obj_7,0.01633106810314409,0
1784255663.383,1,obj_4,1.4679,0.5975,1.0845,obj_4,0.021134346015140172,0
1784255663.383,2,brown bottle,1.7715,-0.9659,1.2353,obj_3,0.007887424369706807,0
1784255663.383,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075325769804826,0
1784255663.383,4,obj_5,2.0212,0.5923,1.0274,obj_5,0.013168465575596765,0
1784255663.383,5,obj_2,3.2616,-0.6382,1.1341,obj_2,0.021924372050900715,0
1784255663.383,6,obj_0,2.7920,-0.9331,1.1937,obj_0,0.06959590598198252,0
1784255663.383,7,obj_1,2.8887,-0.6017,1.0861,obj_1,0.013737607145477013,0
1784255663.888,0,black bowl,0.0068,0.3749,1.0280,obj_7,0.016381266472887013,0
1784255663.888,1,obj_4,1.4679,0.5975,1.0845,obj_4,0.021138668167030174,0
1784255663.888,2,brown bottle,1.7715,-0.9659,1.2353,obj_3,0.007887312616095184,0
1784255663.888,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075446086147354,0
1784255663.888,4,obj_5,2.0212,0.5924,1.0273,obj_5,0.013153355438205236,0
1784255663.888,5,obj_2,3.2616,-0.6382,1.1341,obj_2,0.02192843722140436,0
1784255663.888,6,obj_0,2.7920,-0.9331,1.1937,obj_0,0.06960226912938396,0
1784255663.888,7,obj_1,2.8887,-0.6017,1.0861,obj_1,0.013719998976601436,0
1784255664.391,0,black bowl,0.0074,0.3749,1.0280,obj_7,0.015697401470146696,0
1784255664.391,1,brown teddy bear,1.4678,0.5975,1.0843,obj_4,0.021285132225703943,0
1784255664.391,2,brown bottle,1.7715,-0.9659,1.2353,obj_3,0.007899849533273932,0
1784255664.391,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075506244888336,0
1784255664.391,4,obj_5,2.0213,0.5914,1.0276,obj_5,0.013609848155522082,0
1784255664.391,5,obj_2,3.2616,-0.6382,1.1341,obj_2,0.021931126422279602,0
1784255664.391,6,obj_0,2.7920,-0.9331,1.1936,obj_0,0.06961229211676316,0
1784255664.391,7,obj_1,2.8889,-0.6025,1.0861,obj_1,0.014290080921987696,0
1784255664.888,0,black bowl,0.0078,0.3750,1.0280,obj_7,0.01535580379027683,0
1784255664.888,1,brown teddy bear,1.4678,0.5975,1.0842,obj_4,0.02135844348674624,0
1784255664.888,2,brown bottle,1.7715,-0.9659,1.2353,obj_3,0.007906134163080381,0
1784255664.888,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.01707553632440122,0
1784255664.888,4,obj_5,2.0214,0.5910,1.0277,obj_5,0.01385837267009218,0
1784255664.888,5,obj_2,3.2616,-0.6382,1.1341,obj_2,0.021932500681565242,0
1784255664.888,6,obj_0,2.7920,-0.9331,1.1936,obj_0,0.06961733005090526,0
1784255664.888,7,obj_1,2.8890,-0.6029,1.0861,obj_1,0.014584466238448664,0
1784255665.383,0,black bowl,0.0080,0.3750,1.0280,obj_7,0.015185095247839722,0
1784255665.383,1,brown teddy bear,1.4678,0.5975,1.0842,obj_4,0.021395118687703538,0
1784255665.383,2,brown bottle,1.7714,-0.9659,1.2353,obj_3,0.007909280509551878,0
1784255665.383,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075551364193243,0
1784255665.383,4,obj_5,2.0214,0.5907,1.0277,obj_5,0.013987395640600378,0
1784255665.383,5,obj_2,3.2616,-0.6382,1.1341,obj_2,0.021933195224302357,0
1784255665.383,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06961985562641741,0
1784255665.383,7,obj_1,2.8890,-0.6031,1.0861,obj_1,0.014733832915544797,0
1784255665.884,0,black bowl,0.0086,0.3753,1.0278,obj_7,0.014615191352606279,0
1784255665.884,1,brown teddy bear,1.4679,0.5975,1.0843,obj_4,0.021247088619856913,0
1784255665.884,2,brown bottle,1.7714,-0.9659,1.2354,obj_3,0.007795679275247202,0
1784255665.884,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.01707555888409818,0
1784255665.884,4,obj_5,2.0214,0.5907,1.0278,obj_5,0.013965967123403955,0
