t,selection_mode,obj,arm,attempt,rank_J,rank_dist,node,dist,ee_dist,d_gantry_lin,d_gantry_rot,d_arm,hold,manip,J,gantry_lin,gantry_rot,ik_ms,plan_time_s,plan_ms,traj_energy,success
1784213257.9521077,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784213265.9636388,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784213274.0265622,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784213282.5888734,fixed,target,arm_2,0,0,0,516,0.04903214896883278,1.0498493021743038,0.09161963899555658,1.635528467782349,12.218812332678995,8.411946992060162,0.08199286660354906,13.277071786609472,0.010199454820558904,1.2645567862270752,233.8666400173679,0.073947193,142.97596795950085,13.500357115398755,1
1784213290.0072768,fixed,target,arm_2,0,0,0,2017,0.07568889335710986,0.6292621136322722,0.2267648139202152,1.9244044424642968,6.423051059511928,0.5182531434602352,0.10536408380710185,12.671664469085647,0.0,1.3567349088855167,8.650164003483951,0.098621143,172.4840319948271,21.140881404487807,1
1784213298.1513937,fixed,target,arm_2,0,0,0,195,0.0699225713339987,0.5675735157494731,0.40210304999212365,2.1409333530530184,9.56442303595513,1.378669727175013,0.12157001943282861,16.284830308698115,0.0,1.3364999091085306,14.443113002926111,0.091355372,195.89446898316965,18.56358627263232,1
1784213306.0814283,fixed,target,arm_2,0,0,0,2726,0.04924553203480214,0.579592051495963,0.2507709023363313,2.1214324052684153,7.472738793870757,0.7063931015452218,0.05722059531010774,14.636504165890926,0.4452320543456395,0.11677727898029949,8.608397969510406,0.080121936,144.23808798892424,21.473527826960076,1
1784213314.117359,fixed,target,arm_2,0,0,1,1122,0.07524319321789219,0.51195296100771,0.34543626015704143,1.8776040145433899,5.611196393994967,0.6390138189495908,0.09258270186364286,14.598998079934901,0.5838128010221735,-0.3848116980334023,9.602901001926512,0.06930583900000001,145.60929499566555,39.52395021626641,1
1784213322.2171938,fixed,target,arm_2,0,0,0,13,0.1542467719178006,0.9979394193344823,0.3056234977133583,1.700723858927205,7.613935272676073,3.858299056254309,0.05794438335169555,18.519127040909495,0.0,-1.239792779145405,141.80544496048242,0.077063803,130.7277440209873,12.91015006537592,1
1784213330.2198083,fixed,target,arm_2,0,0,3,13,0.16983398725098536,0.9602353736396646,0.3056234977133583,1.700723858927205,7.613935272676073,3.858299056254309,0.05794438335169555,18.187017519936465,0.050224773293163195,-1.7189142781785065,26.770563970785588,0.079131793,157.04448596807197,21.277458270501352,1
1784213338.2769785,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784213346.3471444,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784213354.6225548,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
