event,arm,time_to_dwell_s,pos_err_max_mm,pos_err_mean_mm,ori_err_max_deg,ori_err_mean_deg,pos_err_max_settled_mm,ori_err_max_settled_deg,n_window_samples,sample_rate_hz,n_tf_fail,peak_effort_nm,pos_tol_mm,ori_tol_deg,dwell_s,instrument_ok
success,arm_1,44.68,2.317,1.508,2.524,2.469,1.482,2.467,41,20.01,0,"{""t1_a1_joint_6"": 0.609, ""t1_a1_joint_1"": 1.375, ""t1_a2_joint_2"": 0.183, ""t1_a2_joint_3"": 0.323, ""t1_a2_joint_4"": 0.146, ""t1_a1_joint_3"": 4.907, ""t1_a1_joint_2"": 9.001, ""t1_a2_joint_6"": 0.02, ""t1_a2_joint_5"": 0.273, ""t1_a2_joint_1"": 0.117, ""t1_a1_joint_4"": 1.181, ""t1_a1_joint_5"": 0.872}",5.0,5.0,2.0,True
success,arm_2,76.644,3.387,1.532,0.855,0.714,1.413,0.72,41,20.0,0,"{""t1_a1_joint_6"": 0.609, ""t1_a1_joint_5"": 0.872, ""t1_a1_joint_1"": 1.375, ""t1_a2_joint_2"": 3.985, ""t1_a2_joint_3"": 5.485, ""t1_a2_joint_4"": 0.669, ""t1_a1_joint_3"": 4.907, ""t1_a1_joint_2"": 9.001, ""t1_a2_joint_5"": 0.499, ""t1_a2_joint_1"": 1.189, ""t1_a1_joint_4"": 1.181, ""t1_a2_joint_6"": 0.333}",5.0,5.0,2.0,True
success,arm_1,45.658,2.733,1.066,1.025,0.986,1.081,0.986,41,20.02,0,"{""t1_a1_joint_6"": 0.596, ""t1_a1_joint_5"": 0.692, ""t1_a1_joint_1"": 1.313, ""t1_a2_joint_2"": 0.687, ""t1_a2_joint_3"": 0.206, ""t1_a2_joint_4"": 0.113, ""t1_a1_joint_3"": 1.918, ""t1_a1_joint_2"": 12.322, ""t1_a2_joint_6"": 0.193, ""t1_a2_joint_5"": 0.186, ""t1_a2_joint_1"": 0.406, ""t1_a1_joint_4"": 0.842}",5.0,5.0,2.0,True
success,arm_2,89.824,3.341,1.81,1.434,1.277,2.017,1.307,41,20.01,0,"{""t1_a1_joint_6"": 0.596, ""t1_a1_joint_5"": 0.692, ""t1_a1_joint_1"": 1.313, ""t1_a2_joint_2"": 4.42, ""t1_a2_joint_3"": 5.017, ""t1_a2_joint_4"": 1.025, ""t1_a1_joint_3"": 2.248, ""t1_a1_joint_2"": 12.322, ""t1_a2_joint_6"": 0.416, ""t1_a2_joint_5"": 0.948, ""t1_a2_joint_1"": 1.285, ""t1_a1_joint_4"": 0.842}",5.0,5.0,2.0,True
success,arm_1,46.626,4.748,1.147,2.407,2.362,1.032,2.383,42,20.01,0,"{""t1_a1_joint_6"": 0.622, ""t1_a1_joint_5"": 0.709, ""t1_a1_joint_1"": 1.45, ""t1_a2_joint_2"": 2.359, ""t1_a2_joint_3"": 0.509, ""t1_a2_joint_4"": 0.243, ""t1_a1_joint_3"": 3.237, ""t1_a1_joint_2"": 6.047, ""t1_a2_joint_6"": 0.133, ""t1_a2_joint_5"": 0.176, ""t1_a2_joint_1"": 0.543, ""t1_a1_joint_4"": 0.945}",5.0,5.0,2.0,True
success,arm_2,81.696,4.486,1.767,1.186,1.173,1.791,1.182,42,20.0,0,"{""t1_a1_joint_6"": 0.622, ""t1_a1_joint_5"": 0.709, ""t1_a1_joint_1"": 1.45, ""t1_a2_joint_2"": 6.459, ""t1_a2_joint_3"": 3.065, ""t1_a2_joint_4"": 0.726, ""t1_a1_joint_3"": 3.237, ""t1_a1_joint_2"": 6.047, ""t1_a2_joint_6"": 0.413, ""t1_a2_joint_5"": 0.539, ""t1_a2_joint_1"": 1.375, ""t1_a1_joint_4"": 0.945}",5.0,5.0,2.0,True
success,arm_1,27.723,3.841,1.012,1.54,1.51,0.828,1.512,42,20.02,0,"{""t1_a1_joint_6"": 0.606, ""t1_a1_joint_5"": 0.559, ""t1_a1_joint_1"": 1.443, ""t1_a2_joint_2"": 0.664, ""t1_a2_joint_3"": 0.515, ""t1_a2_joint_4"": 0.113, ""t1_a1_joint_3"": 4.818, ""t1_a1_joint_2"": 11.04, ""t1_a2_joint_6"": 0.173, ""t1_a2_joint_5"": 0.166, ""t1_a2_joint_1"": 0.667, ""t1_a1_joint_4"": 0.805}",5.0,5.0,2.0,True
success,arm_2,56.164,4.755,2.912,1.972,1.957,2.807,1.961,42,20.01,0,"{""t1_a1_joint_6"": 0.606, ""t1_a1_joint_5"": 0.559, ""t1_a1_joint_1"": 1.443, ""t1_a2_joint_2"": 10.582, ""t1_a2_joint_3"": 5.162, ""t1_a2_joint_4"": 1.052, ""t1_a1_joint_3"": 4.818, ""t1_a1_joint_2"": 11.04, ""t1_a2_joint_6"": 0.419, ""t1_a2_joint_5"": 0.622, ""t1_a2_joint_1"": 1.182, ""t1_a1_joint_4"": 0.809}",5.0,5.0,2.0,True
success,arm_1,34.976,4.927,1.774,1.713,1.649,1.661,1.638,41,20.01,0,"{""t1_a1_joint_6"": 0.562, ""t1_a1_joint_5"": 0.672, ""t1_a1_joint_1"": 1.498, ""t1_a2_joint_2"": 0.55, ""t1_a2_joint_3"": 0.529, ""t1_a2_joint_4"": 0.176, ""t1_a1_joint_3"": 5.368, ""t1_a1_joint_2"": 5.062, ""t1_a2_joint_6"": 0.273, ""t1_a2_joint_5"": 0.173, ""t1_a2_joint_1"": 0.694, ""t1_a1_joint_4"": 1.112}",5.0,5.0,2.0,True
success,arm_2,73.186,4.435,2.078,1.384,1.34,2.202,1.375,41,20.0,0,"{""t1_a1_joint_6"": 0.562, ""t1_a1_joint_5"": 0.672, ""t1_a1_joint_1"": 1.498, ""t1_a2_joint_2"": 3.596, ""t1_a2_joint_3"": 5.402, ""t1_a2_joint_4"": 1.125, ""t1_a1_joint_3"": 5.368, ""t1_a1_joint_2"": 5.062, ""t1_a2_joint_6"": 0.396, ""t1_a2_joint_5"": 1.008, ""t1_a2_joint_1"": 1.34, ""t1_a1_joint_4"": 1.112}",5.0,5.0,2.0,True
success,arm_1,36.095,2.763,1.418,2.108,2.005,1.256,1.93,42,20.0,0,"{""t1_a1_joint_6"": 0.526, ""t1_a1_joint_5"": 0.772, ""t1_a1_joint_1"": 1.34, ""t1_a2_joint_2"": 0.779, ""t1_a2_joint_3"": 0.227, ""t1_a2_joint_4"": 0.333, ""t1_a1_joint_3"": 5.822, ""t1_a1_joint_2"": 10.948, ""t1_a2_joint_6"": 0.176, ""t1_a2_joint_5"": 0.186, ""t1_a2_joint_1"": 0.687, ""t1_a1_joint_4"": 1.068}",5.0,5.0,2.0,True
success,arm_1,35.146,3.27,1.477,1.439,1.375,1.629,1.328,42,20.0,0,"{""t1_a1_joint_6"": 0.592, ""t1_a1_joint_5"": 0.469, ""t1_a1_joint_1"": 1.512, ""t1_a2_joint_2"": 0.733, ""t1_a2_joint_3"": 0.268, ""t1_a2_joint_4"": 0.053, ""t1_a1_joint_3"": 5.76, ""t1_a1_joint_2"": 10.009, ""t1_a2_joint_6"": 0.153, ""t1_a2_joint_5"": 0.176, ""t1_a2_joint_1"": 0.619, ""t1_a1_joint_4"": 0.875}",5.0,5.0,2.0,True
success,arm_2,79.106,4.105,1.746,1.879,1.797,1.833,1.871,41,20.01,0,"{""t1_a1_joint_6"": 0.592, ""t1_a1_joint_5"": 0.469, ""t1_a1_joint_1"": 1.512, ""t1_a2_joint_2"": 6.299, ""t1_a2_joint_3"": 2.825, ""t1_a2_joint_4"": 0.399, ""t1_a1_joint_3"": 5.76, ""t1_a1_joint_2"": 10.009, ""t1_a2_joint_6"": 0.379, ""t1_a2_joint_5"": 0.649, ""t1_a2_joint_1"": 1.292, ""t1_a1_joint_4"": 0.889}",5.0,5.0,2.0,True
success,arm_1,18.898,4.035,1.592,2.133,2.076,1.569,2.1,41,20.0,0,"{""t1_a1_joint_6"": 0.496, ""t1_a1_joint_5"": 0.556, ""t1_a1_joint_1"": 1.375, ""t1_a2_joint_2"": 0.573, ""t1_a2_joint_3"": 0.179, ""t1_a2_joint_4"": 0.236, ""t1_a1_joint_3"": 3.553, ""t1_a1_joint_2"": 8.062, ""t1_a2_joint_6"": 0.389, ""t1_a2_joint_5"": 0.136, ""t1_a2_joint_1"": 0.646, ""t1_a1_joint_4"": 0.765}",5.0,5.0,2.0,True
success,arm_2,63.656,4.94,1.554,2.989,2.435,1.508,2.413,41,20.01,0,"{""t1_a1_joint_6"": 0.496, ""t1_a1_joint_5"": 0.556, ""t1_a1_joint_1"": 1.375, ""t1_a2_joint_2"": 13.124, ""t1_a2_joint_3"": 5.169, ""t1_a2_joint_4"": 0.785, ""t1_a1_joint_3"": 3.553, ""t1_a1_joint_2"": 8.062, ""t1_a2_joint_6"": 0.426, ""t1_a2_joint_5"": 0.962, ""t1_a2_joint_1"": 1.368, ""t1_a1_joint_4"": 0.765}",5.0,5.0,2.0,True
success,arm_1,37.102,3.664,1.069,1.852,1.764,0.946,1.799,41,20.03,0,"{""t1_a1_joint_6"": 0.656, ""t1_a1_joint_5"": 0.696, ""t1_a1_joint_1"": 1.388, ""t1_a2_joint_2"": 0.641, ""t1_a2_joint_3"": 0.557, ""t1_a2_joint_4"": 0.233, ""t1_a1_joint_3"": 3.533, ""t1_a1_joint_2"": 4.512, ""t1_a2_joint_6"": 0.266, ""t1_a2_joint_5"": 0.193, ""t1_a2_joint_1"": 0.687, ""t1_a1_joint_4"": 0.802}",5.0,5.0,2.0,True
success,arm_2,70.646,4.299,2.236,0.322,0.228,1.673,0.168,42,20.0,0,"{""t1_a1_joint_6"": 0.656, ""t1_a1_joint_5"": 0.696, ""t1_a1_joint_1"": 1.388, ""t1_a2_joint_2"": 13.009, ""t1_a2_joint_3"": 2.44, ""t1_a2_joint_4"": 0.349, ""t1_a1_joint_3"": 3.533, ""t1_a1_joint_2"": 4.512, ""t1_a2_joint_6"": 0.419, ""t1_a2_joint_5"": 0.376, ""t1_a2_joint_1"": 1.237, ""t1_a1_joint_4"": 0.802}",5.0,5.0,2.0,True
success,arm_1,32.262,4.164,1.514,0.549,0.482,1.66,0.497,42,20.02,0,"{""t1_a1_joint_6"": 0.596, ""t1_a1_joint_5"": 0.676, ""t1_a1_joint_1"": 1.052, ""t1_a2_joint_2"": 0.55, ""t1_a2_joint_3"": 0.206, ""t1_a2_joint_4"": 0.077, ""t1_a1_joint_3"": 5.478, ""t1_a1_joint_2"": 6.528, ""t1_a2_joint_6"": 0.29, ""t1_a2_joint_5"": 0.143, ""t1_a2_joint_1"": 0.687, ""t1_a1_joint_4"": 1.085}",5.0,5.0,2.0,True
success,arm_2,64.809,3.596,1.695,1.973,1.893,1.928,1.951,42,20.01,0,"{""t1_a1_joint_6"": 0.596, ""t1_a1_joint_5"": 0.676, ""t1_a1_joint_1"": 1.052, ""t1_a2_joint_2"": 3.481, ""t1_a2_joint_3"": 4.777, ""t1_a2_joint_4"": 0.975, ""t1_a1_joint_3"": 5.478, ""t1_a1_joint_2"": 6.802, ""t1_a2_joint_6"": 0.419, ""t1_a2_joint_5"": 0.599, ""t1_a2_joint_1"": 1.395, ""t1_a1_joint_4"": 1.085}",5.0,5.0,2.0,True
